Alignments_Rel_3170.zip - Updated on 09th September 2014
A_gen.fasta - Updated on 30th July 2014
A_gen.msf - Updated on 30th July 2014
A_gen.pir - Updated on 30th July 2014
Alignments_Rel_3170.zip - Updated on 30th July 2014
ambiguity_v3170.xls - Updated on 21st August 2014
B_gen.fasta - Updated on 30th July 2014
B_gen.msf - Updated on 30th July 2014
B_gen.pir - Updated on 30th July 2014
B_nuc.fasta - Updated on 21st August 2014
B_nuc.pir - Updated on 21st August 2014
B_nuc.msf - Updated on 21st August 2014 
B_nuc.fasta - Updated on 21st August 2014
B_nuc.pir - Updated on 21st August 2014
B_nuc.msf - Updated on 21st August 2014 
C_gen.fasta - Updated on 17th July 2014
C_gen.msf- Updated on 17th July 2014
C_gen.pir- Updated on 17th July 2014
DQB_gen.fasta - Updated on 30th July 2014
DQB_gen.msf - Updated on 30th July 2014
DQB_gen.pir - Updated on 30th July 2014
DQB1_nuc.fasta - Updated on 21st August 2014
DQB1_nuc.pir - Updated on 21st August 2014
DQB1_nuc.msf - Updated on 21st August 2014
DQB1_prot.fasta - Updated on 21st August 2014
DQB1_prot.pir - Updated on 21st August 2014
DQB1_prot.msf - Updated on 21st August 2014 
hla_ambigs.xml - Updated on 21st August 2014
hla.dat - Updated on 21st August 2014
hla_nuc.fasta - Updated on 21st August 2014
hla_prot.fasta - Updated on 21st August 2014
hla.xml - Updated on 7th August 2014
