# file: antigen_oid.txt
# date: 2020-07-13
# version: IPD-IMGT/HLA 3.41.0
# origin: https://github.com/ANHIG/IMGTHLA/oid/antigen_oid.txt
# repository: https://raw.githubusercontent.com/ANHIG/IMGTHLA/Latest/oid/antigen_oid.txt
# author: WHO, Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
Antigen,OID
A1,2.16.840.1.113883.13.252.1.2.1
A2,2.16.840.1.113883.13.252.1.2.2
A203,2.16.840.1.113883.13.252.1.2.3
A210,2.16.840.1.113883.13.252.1.2.4
A3,2.16.840.1.113883.13.252.1.2.5
A9,2.16.840.1.113883.13.252.1.2.6
A10,2.16.840.1.113883.13.252.1.2.7
A11,2.16.840.1.113883.13.252.1.2.8
A19,2.16.840.1.113883.13.252.1.2.9
A23(9),2.16.840.1.113883.13.252.1.2.10
A24(9),2.16.840.1.113883.13.252.1.2.11
A2403,2.16.840.1.113883.13.252.1.2.12
A25(10),2.16.840.1.113883.13.252.1.2.13
A26(10),2.16.840.1.113883.13.252.1.2.14
A28,2.16.840.1.113883.13.252.1.2.15
A29(19),2.16.840.1.113883.13.252.1.2.16
A30(19),2.16.840.1.113883.13.252.1.2.17
A31(19),2.16.840.1.113883.13.252.1.2.18
A32(19),2.16.840.1.113883.13.252.1.2.19
A33(19),2.16.840.1.113883.13.252.1.2.20
A34(10),2.16.840.1.113883.13.252.1.2.21
A36,2.16.840.1.113883.13.252.1.2.22
A43,2.16.840.1.113883.13.252.1.2.23
A66(10),2.16.840.1.113883.13.252.1.2.24
A68(28),2.16.840.1.113883.13.252.1.2.25
A69(28),2.16.840.1.113883.13.252.1.2.26
A74(19),2.16.840.1.113883.13.252.1.2.27
A80,2.16.840.1.113883.13.252.1.2.28
B5,2.16.840.1.113883.13.252.1.2.29
B7,2.16.840.1.113883.13.252.1.2.30
B703,2.16.840.1.113883.13.252.1.2.31
B8,2.16.840.1.113883.13.252.1.2.32
B12,2.16.840.1.113883.13.252.1.2.33
B13,2.16.840.1.113883.13.252.1.2.34
B14,2.16.840.1.113883.13.252.1.2.35
B15,2.16.840.1.113883.13.252.1.2.36
B16,2.16.840.1.113883.13.252.1.2.37
B17,2.16.840.1.113883.13.252.1.2.38
B18,2.16.840.1.113883.13.252.1.2.39
B21,2.16.840.1.113883.13.252.1.2.40
B22,2.16.840.1.113883.13.252.1.2.41
B27,2.16.840.1.113883.13.252.1.2.42
B2708,2.16.840.1.113883.13.252.1.2.43
B35,2.16.840.1.113883.13.252.1.2.44
B37,2.16.840.1.113883.13.252.1.2.45
B38(16),2.16.840.1.113883.13.252.1.2.46
B39(16),2.16.840.1.113883.13.252.1.2.47
B3901,2.16.840.1.113883.13.252.1.2.48
B3902,2.16.840.1.113883.13.252.1.2.49
B40,2.16.840.1.113883.13.252.1.2.50
B4005,2.16.840.1.113883.13.252.1.2.51
B41,2.16.840.1.113883.13.252.1.2.52
B42,2.16.840.1.113883.13.252.1.2.53
